Date,Open,High,Low,Close,Adj Close,Volume
2020-07-14,56.900002,58.049999,56.599998,57.020000,54.881592,1745800
2020-07-15,58.009998,58.419998,57.320000,57.720001,55.555340,2094600
2020-07-16,57.290001,57.700001,56.900002,57.220001,55.074089,1733900
2020-07-17,57.279999,57.500000,56.689999,56.980000,54.843090,2035900
2020-07-20,56.500000,56.799999,55.040001,55.169998,53.100967,3426100
2020-07-21,55.279999,55.849998,54.459999,54.570000,52.523472,2954900
2020-07-22,54.180000,55.889999,53.790001,55.700001,53.611095,2916900
2020-07-23,55.439999,55.919998,54.070000,54.830002,52.773720,2014500
2020-07-24,54.740002,54.970001,53.830002,54.340000,52.302101,3184900
2020-07-27,54.080002,54.080002,52.720001,53.330002,51.329975,2045700
2020-07-28,53.090000,55.060001,53.080002,54.660000,52.610096,2456400
2020-07-29,54.259998,54.830002,52.669998,53.590000,51.580227,3319300
2020-07-30,52.799999,54.020000,52.689999,53.950001,51.926727,2100900
2020-07-31,53.810001,53.990002,52.580002,53.630001,51.618725,2452200
2020-08-03,52.619999,53.000000,52.150002,52.330002,50.367477,2292600
2020-08-04,52.349998,53.700001,51.689999,53.459999,51.455101,4036200
2020-08-05,54.279999,54.320000,53.180000,53.320000,51.320347,2921000
2020-08-06,53.150002,54.040001,53.150002,53.639999,51.628353,2047600
2020-08-07,53.320000,55.500000,53.320000,55.189999,53.120220,3007100
2020-08-10,55.279999,55.970001,54.849998,55.360001,53.283848,2269200
2020-08-11,55.980000,56.279999,54.480000,54.750000,52.696724,2467400
2020-08-12,54.959999,55.279999,54.070000,54.820000,52.764095,2303300
2020-08-13,54.419998,54.900002,53.330002,53.509998,51.503223,1841300
2020-08-14,53.590000,55.080002,53.029999,54.389999,52.350224,2100100
2020-08-17,54.419998,55.400002,54.040001,55.389999,53.312717,2656200
2020-08-18,55.459999,55.549999,54.450001,55.369999,53.293472,2148200
2020-08-19,55.290001,55.290001,53.939999,54.150002,52.119228,2642800
2020-08-20,54.040001,55.509998,53.919998,55.250000,53.177971,1570600
2020-08-21,55.369999,55.570000,53.779999,54.689999,52.638969,1969300
2020-08-24,54.599998,56.020000,53.959999,55.910000,53.813217,2327200
2020-08-25,55.869999,56.580002,55.680000,56.560001,54.438847,1784300
2020-08-26,56.209999,56.209999,54.630001,54.919998,52.860344,1703500
2020-08-27,55.040001,56.779999,55.040001,56.630001,54.506218,1802800
2020-08-28,56.959999,57.060001,56.090000,57.029999,54.891212,1711600
2020-08-31,56.759998,56.880001,56.009998,56.450001,54.332970,2143500
2020-09-01,56.680000,56.830002,55.759998,56.779999,54.650593,2320300
2020-09-02,56.810001,57.759998,56.360001,57.689999,55.526459,2137200
2020-09-03,57.910000,59.099998,57.040001,57.400002,55.247345,1990800
2020-09-04,57.689999,58.810001,57.250000,58.110001,55.930714,2128700
2020-09-08,57.810001,57.950001,56.820000,57.389999,55.237717,2133700
2020-09-09,57.430000,58.139999,56.500000,56.840000,54.708344,2433000
2020-09-10,56.549999,56.700001,55.169998,55.810001,53.716972,6098400
2020-09-11,55.770000,55.980000,54.250000,54.669998,52.619720,2723900
2020-09-14,55.009998,57.130001,55.000000,56.930000,54.794964,2311300
2020-09-15,56.830002,57.410000,55.939999,56.330002,54.217468,2556500
2020-09-16,56.540001,57.380001,56.419998,56.869999,54.737213,3449900
2020-09-17,56.349998,57.320000,55.389999,55.779999,53.688091,3366100
2020-09-18,55.419998,56.000000,54.270000,54.330002,52.292477,4987100
2020-09-21,53.580002,53.930000,51.889999,52.029999,50.078728,4023200
2020-09-22,52.000000,53.220001,52.000000,52.660000,50.685104,4262500
2020-09-23,52.500000,53.310001,51.160000,51.250000,49.327984,3268200
2020-09-24,50.720001,51.279999,50.009998,50.509998,49.194546,3578800
2020-09-25,50.400002,51.580002,50.110001,51.570000,50.226944,2776000
2020-09-28,52.400002,52.910000,51.869999,52.540001,51.171680,2193500
2020-09-29,52.299999,52.459999,50.630001,51.090000,49.759445,2947700
2020-09-30,51.529999,51.950001,50.689999,51.330002,49.993195,3102100
2020-10-01,51.509998,53.500000,51.279999,53.439999,52.048237,3141800
2020-10-02,52.310001,55.439999,52.029999,55.090000,53.655270,6450200
2020-10-05,56.000000,56.410000,54.580002,55.599998,54.151989,2751400
2020-10-06,55.810001,56.160000,54.869999,55.189999,53.752663,2367100
2020-10-07,55.450001,55.599998,54.330002,54.759998,53.333858,1748400
2020-10-08,55.180000,56.200001,55.000000,56.189999,54.726624,2096200
2020-10-09,56.320000,56.410000,55.240002,55.660000,54.210426,1666200
2020-10-12,55.740002,55.799999,54.720001,55.349998,53.908497,1254300
2020-10-13,54.779999,55.340000,53.340000,53.500000,52.106678,1864100
2020-10-14,53.470001,53.610001,52.470001,52.810001,51.434650,1711800
2020-10-15,52.480000,53.209999,52.119999,52.310001,50.947670,1820800
2020-10-16,52.509998,52.650002,51.619999,51.849998,50.499649,2609100
2020-10-19,52.119999,52.299999,50.660000,50.709999,49.389339,1738600
2020-10-20,51.230000,51.389999,50.680000,50.910000,49.584133,1683500
2020-10-21,50.509998,51.189999,50.279999,50.509998,49.194546,2626100
2020-10-22,50.610001,50.990002,50.110001,50.750000,49.428299,3159000
2020-10-23,51.330002,51.439999,50.419998,51.310001,49.973713,2574000
2020-10-26,51.070000,51.290001,49.810001,50.700001,49.379604,2212200
2020-10-27,50.549999,50.959999,49.689999,49.689999,48.395905,2135500
2020-10-28,48.389999,48.389999,45.540001,46.240002,45.035755,6954800
2020-10-29,46.000000,46.759998,45.430000,46.259998,45.055233,4435500
2020-10-30,46.240002,47.139999,46.139999,46.980000,45.756481,2926500
2020-11-02,47.200001,49.360001,46.520000,49.310001,48.025803,3289300
2020-11-03,50.000000,52.970001,50.000000,52.529999,51.161942,3740200
2020-11-04,52.130001,52.180000,50.450001,50.759998,49.438038,2851900
2020-11-05,51.080002,52.520000,50.709999,52.060001,50.704182,3021600
2020-11-06,51.970001,52.320000,51.139999,51.520000,50.178246,2433200
2020-11-09,57.599998,67.419998,57.580002,59.279999,57.736149,10968000
2020-11-10,59.630001,62.779999,59.630001,61.439999,59.839893,9555200
2020-11-11,61.000000,61.450001,59.000000,59.590000,58.038071,4562400
2020-11-12,59.209999,59.529999,57.750000,58.520000,56.995941,2484000
2020-11-13,58.700001,60.430000,58.380001,60.150002,58.583496,1928000
2020-11-16,61.970001,62.939999,60.720001,62.750000,61.115780,3103100
2020-11-17,61.840000,62.930000,60.919998,62.500000,60.872292,3169600
2020-11-18,62.689999,63.009998,59.939999,59.959999,58.398438,2116900
2020-11-19,59.590000,60.209999,58.560001,59.860001,58.301044,3092600
2020-11-20,59.950001,60.709999,59.770000,60.560001,58.982815,2894900
2020-11-23,61.000000,61.380001,60.040001,60.330002,58.758804,2688800
2020-11-24,61.369999,62.310001,60.669998,61.279999,59.684059,3999000
2020-11-25,61.000000,61.160000,60.090000,60.450001,58.875683,1706700
2020-11-27,60.310001,60.349998,58.799999,59.200001,57.658234,1470000
2020-11-30,59.090000,59.340000,57.570000,57.919998,56.411564,5918900
2020-12-01,58.970001,59.459999,58.439999,58.990002,57.453701,2048700
2020-12-02,58.990002,60.910000,58.689999,60.360001,58.788021,2927800
2020-12-03,60.459999,62.369999,60.189999,61.950001,60.336613,3164200
2020-12-04,62.419998,63.560001,62.310001,63.369999,61.719631,3159500
2020-12-07,62.810001,63.410000,62.439999,62.709999,61.076820,2013700
2020-12-08,62.340000,62.849998,61.910000,62.389999,60.765152,2034700
